Region,Fecha,Suma de Casos Acumulados,Suma de Casos Diarios,Suma de Muertes,Suma de Casos Activos,Suma de Recuperados,Suma de Recuperados Diarios,Suma de Fallecidos Diarios,FechaNumber,Fecha Final
Antofagasta,3-mar,0,0,0,0,0,0.0,0.0,3-03-2020,2020-03-03 00:00:00.000
Antofagasta,4-mar,0,0,0,0,0,0.0,0.0,4-03-2020,2020-03-04 00:00:00.000
Antofagasta,5-mar,0,0,0,0,0,0.0,0.0,5-03-2020,2020-03-05 00:00:00.000
Antofagasta,6-mar,0,0,0,0,0,0.0,0.0,6-03-2020,2020-03-06 00:00:00.000
Antofagasta,7-mar,0,0,0,0,0,0.0,0.0,7-03-2020,2020-03-07 00:00:00.000
Antofagasta,8-mar,0,0,0,0,0,0.0,0.0,8-03-2020,2020-03-08 00:00:00.000
Antofagasta,9-mar,0,0,0,0,0,0.0,0.0,9-03-2020,2020-03-09 00:00:00.000
Antofagasta,10-mar,0,0,0,0,0,0.0,0.0,10-03-2020,2020-03-10 00:00:00.000
Antofagasta,11-mar,0,0,0,0,0,0.0,0.0,11-03-2020,2020-03-11 00:00:00.000
Antofagasta,12-mar,0,0,0,0,0,0.0,0.0,12-03-2020,2020-03-12 00:00:00.000
Antofagasta,13-mar,0,0,0,0,0,0.0,0.0,13-03-2020,2020-03-13 00:00:00.000
Antofagasta,14-mar,2,2,0,2,0,0.0,0.0,14-03-2020,2020-03-14 00:00:00.000
Antofagasta,15-mar,2,0,0,2,0,0.0,0.0,15-03-2020,2020-03-15 00:00:00.000
Antofagasta,16-mar,2,0,0,2,0,0.0,0.0,16-03-2020,2020-03-16 00:00:00.000
Antofagasta,17-mar,2,0,0,2,0,0.0,0.0,17-03-2020,2020-03-17 00:00:00.000
Antofagasta,18-mar,2,0,0,2,0,0.0,0.0,18-03-2020,2020-03-18 00:00:00.000
Antofagasta,19-mar,7,5,0,7,0,0.0,0.0,19-03-2020,2020-03-19 00:00:00.000
Antofagasta,20-mar,11,4,0,11,0,0.0,0.0,20-03-2020,2020-03-20 00:00:00.000
Antofagasta,21-mar,12,1,0,12,0,0.0,0.0,21-03-2020,2020-03-21 00:00:00.000
Antofagasta,22-mar,12,0,0,12,0,0.0,0.0,22-03-2020,2020-03-22 00:00:00.000
Antofagasta,23-mar,14,2,0,14,0,0.0,0.0,23-03-2020,2020-03-23 00:00:00.000
Antofagasta,24-mar,20,6,0,20,0,0.0,0.0,24-03-2020,2020-03-24 00:00:00.000
Antofagasta,25-mar,21,1,0,21,0,0.0,0.0,25-03-2020,2020-03-25 00:00:00.000
Antofagasta,26-mar,24,3,0,24,0,0.0,0.0,26-03-2020,2020-03-26 00:00:00.000
Antofagasta,27-mar,26,2,0,26,0,0.0,0.0,27-03-2020,2020-03-27 00:00:00.000
Antofagasta,28-mar,30,4,0,30,0,0.0,0.0,28-03-2020,2020-03-28 00:00:00.000
Antofagasta,29-mar,38,8,0,36,2,2.0,0.0,29-03-2020,2020-03-29 00:00:00.000
Antofagasta,30-mar,39,1,0,37,2,0.0,0.0,30-03-2020,2020-03-30 00:00:00.000
Antofagasta,31-mar,41,2,0,39,2,0.0,0.0,31-03-2020,2020-03-31 00:00:00.000
Antofagasta,1-abr,45,4,0,43,2,0.0,0.0,1-04-2020,2020-04-01 00:00:00.000
Antofagasta,2-abr,56,11,0,54,2,0.0,0.0,2-04-2020,2020-04-02 00:00:00.000
Antofagasta,3-abr,60,4,0,53,7,5.0,0.0,3-04-2020,2020-04-03 00:00:00.000
Antofagasta,4-abr,62,2,0,51,11,4.0,0.0,4-04-2020,2020-04-04 00:00:00.000
Antofagasta,5-abr,67,5,0,55,12,1.0,0.0,5-04-2020,2020-04-05 00:00:00.000
Antofagasta,6-abr,72,5,0,60,12,0.0,0.0,6-04-2020,2020-04-06 00:00:00.000
Antofagasta,7-abr,73,1,1,58,14,2.0,1.0,7-04-2020,2020-04-07 00:00:00.000
Antofagasta,8-abr,78,5,1,57,20,6.0,0.0,8-04-2020,2020-04-08 00:00:00.000
Antofagasta,9-abr,94,16,1,72,21,1.0,0.0,9-04-2020,2020-04-09 00:00:00.000
Antofagasta,10-abr,107,13,1,82,24,3.0,0.0,10-04-2020,2020-04-10 00:00:00.000
Antofagasta,11-abr,114,7,1,87,26,2.0,0.0,11-04-2020,2020-04-11 00:00:00.000
Antofagasta,12-abr,135,21,2,103,30,4.0,1.0,12-04-2020,2020-04-12 00:00:00.000
Antofagasta,13-abr,148,13,3,107,38,8.0,1.0,13-04-2020,2020-04-13 00:00:00.000
Antofagasta,14-abr,154,6,6,109,39,1.0,3.0,14-04-2020,2020-04-14 00:00:00.000
Antofagasta,15-abr,175,21,7,127,41,2.0,1.0,15-04-2020,2020-04-15 00:00:00.000
Antofagasta,16-abr,191,16,13,133,45,4.0,6.0,16-04-2020,2020-04-16 00:00:00.000
Antofagasta,17-abr,211,20,15,140,56,11.0,2.0,17-04-2020,2020-04-17 00:00:00.000
Antofagasta,18-abr,225,14,19,146,60,4.0,4.0,18-04-2020,2020-04-18 00:00:00.000
Antofagasta,19-abr,246,21,22,162,62,2.0,3.0,19-04-2020,2020-04-19 00:00:00.000
Antofagasta,20-abr,264,18,25,172,67,5.0,3.0,20-04-2020,2020-04-20 00:00:00.000
Antofagasta,21-abr,294,30,25,197,72,5.0,0.0,21-04-2020,2020-04-21 00:00:00.000
Antofagasta,22-abr,329,35,26,230,73,1.0,1.0,22-04-2020,2020-04-22 00:00:00.000
Antofagasta,23-abr,343,14,26,239,78,5.0,0.0,23-04-2020,2020-04-23 00:00:00.000
Antofagasta,24-abr,368,25,26,248,94,16.0,0.0,24-04-2020,2020-04-24 00:00:00.000
Antofagasta,25-abr,392,24,27,258,107,13.0,1.0,25-04-2020,2020-04-25 00:00:00.000
Antofagasta,26-abr,444,52,28,302,114,7.0,1.0,26-04-2020,2020-04-26 00:00:00.000
Antofagasta,27-abr,457,13,28,294,135,21.0,0.0,27-04-2020,2020-04-27 00:00:00.000
Antofagasta,28-abr,481,24,28,305,148,13.0,0.0,28-04-2020,2020-04-28 00:00:00.000
Antofagasta,29-abr,514,33,28,332,154,6.0,0.0,29-04-2020,2020-04-29 00:00:00.000
Antofagasta,30-abr,546,32,29,342,175,21.0,1.0,30-04-2020,2020-04-30 00:00:00.000
Antofagasta,1-may,589,43,31,367,191,16.0,2.0,1-05-2020,2020-05-01 00:00:00.000
Antofagasta,2-may,675,86,31,433,211,20.0,0.0,2-05-2020,2020-05-02 00:00:00.000
Antofagasta,3-may,736,61,31,480,225,14.0,0.0,3-05-2020,2020-05-03 00:00:00.000
Antofagasta,4-may,756,20,31,479,246,21.0,0.0,4-05-2020,2020-05-04 00:00:00.000
Antofagasta,5-may,807,51,31,512,264,18.0,0.0,5-05-2020,2020-05-05 00:00:00.000
Antofagasta,6-may,851,44,31,526,294,30.0,0.0,6-05-2020,2020-05-06 00:00:00.000
Antofagasta,7-may,891,40,31,531,329,35.0,0.0,7-05-2020,2020-05-07 00:00:00.000
Antofagasta,8-may,919,28,32,544,343,14.0,1.0,8-05-2020,2020-05-08 00:00:00.000
Antofagasta,9-may,943,24,33,542,368,25.0,1.0,9-05-2020,2020-05-09 00:00:00.000
Antofagasta,10-may,974,31,33,549,392,24.0,0.0,10-05-2020,2020-05-10 00:00:00.000
Antofagasta,11-may,1010,36,33,533,444,52.0,0.0,11-05-2020,2020-05-11 00:00:00.000
Antofagasta,12-may,1105,95,33,615,457,13.0,0.0,12-05-2020,2020-05-12 00:00:00.000
Antofagasta,13-may,1212,107,34,697,481,24.0,1.0,13-05-2020,2020-05-13 00:00:00.000
Antofagasta,14-may,1273,61,34,725,514,33.0,0.0,14-05-2020,2020-05-14 00:00:00.000
Antofagasta,15-may,1327,54,36,745,546,32.0,2.0,15-05-2020,2020-05-15 00:00:00.000
Antofagasta,16-may,1425,98,47,789,589,43.0,11.0,16-05-2020,2020-05-16 00:00:00.000
Antofagasta,17-may,1501,76,51,776,675,86.0,4.0,17-05-2020,2020-05-17 00:00:00.000
Antofagasta,18-may,1585,84,52,798,736,61.0,1.0,18-05-2020,2020-05-18 00:00:00.000
Antofagasta,19-may,1644,59,53,836,756,20.0,1.0,19-05-2020,2020-05-19 00:00:00.000
Antofagasta,20-may,1727,83,56,865,807,51.0,3.0,20-05-2020,2020-05-20 00:00:00.000
Antofagasta,21-may,1774,47,56,867,851,44.0,0.0,21-05-2020,2020-05-21 00:00:00.000
Antofagasta,22-may,1837,63,56,890,891,40.0,0.0,22-05-2020,2020-05-22 00:00:00.000
Antofagasta,23-may,1893,56,64,911,919,28.0,8.0,23-05-2020,2020-05-23 00:00:00.000
Antofagasta,24-may,1943,50,64,937,943,24.0,0.0,24-05-2020,2020-05-24 00:00:00.000
Antofagasta,25-may,2011,68,68,970,974,31.0,4.0,25-05-2020,2020-05-25 00:00:00.000
Antofagasta,26-may,2059,48,70,980,1010,36.0,2.0,26-05-2020,2020-05-26 00:00:00.000
Antofagasta,27-may,2133,74,72,957,1105,95.0,2.0,27-05-2020,2020-05-27 00:00:00.000
Antofagasta,28-may,2244,111,75,957,1212,107.0,3.0,28-05-2020,2020-05-28 00:00:00.000
Antofagasta,29-may,2314,70,79,962,1273,61.0,4.0,29-05-2020,2020-05-29 00:00:00.000
Antofagasta,30-may,2425,111,80,1018,1327,54.0,1.0,30-05-2020,2020-05-30 00:00:00.000
Antofagasta,31-may,2506,81,82,999,1425,98.0,2.0,31-05-2020,2020-05-31 00:00:00.000
Antofagasta,1-jun,2581,75,83,997,1501,76.0,1.0,1-06-2020,2020-06-01 00:00:00.000
Antofagasta,2-jun,2645,64,89,971,1585,84.0,6.0,2-06-2020,2020-06-02 00:00:00.000
Antofagasta,3-jun,2712,67,91,977,1644,59.0,2.0,3-06-2020,2020-06-03 00:00:00.000
Antofagasta,4-jun,2858,146,93,1038,1727,83.0,2.0,4-06-2020,2020-06-04 00:00:00.000
Antofagasta,5-jun,2920,62,97,1049,1774,47.0,4.0,5-06-2020,2020-06-05 00:00:00.000
Antofagasta,6-jun,3029,109,102,1090,1837,63.0,5.0,6-06-2020,2020-06-06 00:00:00.000
Antofagasta,7-jun,3150,121,102,1155,1893,56.0,0.0,7-06-2020,2020-06-07 00:00:00.000
Antofagasta,8-jun,3241,91,103,1195,1943,50.0,1.0,8-06-2020,2020-06-08 00:00:00.000
Antofagasta,9-jun,3398,157,103,1284,2011,68.0,0.0,9-06-2020,2020-06-09 00:00:00.000
Antofagasta,10-jun,4027,629,113,1855,2059,48.0,10.0,10-06-2020,2020-06-10 00:00:00.000
